rank,word,lemma,occurrences_ppm
1,que,que,39430.08614976805
2,no,no,31477.799867461894
3,yo,yo,28164.347249834325
4,me,me,26507.62094102054
5,yeh,yeh,20377.733598409544
6,te,te,20046.388336646785
7,y,y,19383.697813121275
8,la,la,18555.334658714382
9,ey,ey,17561.29887342611
10,a,a,16567.26308813784
11,eh,eh,16235.917826375082
12,tú,tú,16235.917826375082
13,en,en,15904.572564612325
14,de,de,15241.882041086812
15,lo,lo,13253.81047051027
16,el,el,10934.393638170975
17,se,se,9940.357852882704
18,soy,soy,9940.357852882704
19,qué,qué,7455.268389662027
20,un,un,7455.268389662027
21,ti,ti,6958.250497017893
22,fuego,fuego,6958.250497017893
23,es,es,6958.250497017893
24,pa',pa',6958.250497017893
25,ya,ya,6792.577866136514
26,oh,oh,6792.577866136514
27,como,como,6626.905235255135
28,yeah,yeah,6461.232604373758
29,si,si,6295.559973492379
30,pero,pero,5798.542080848244
31,sé,sé,5798.542080848244
32,los,los,5798.542080848244
33,siempre,siempre,5632.869449966865
34,bien,bien,5467.196819085488
35,por,por,5467.196819085488
36,quién,quién,5467.196819085488
37,nada,nada,5467.196819085488
38,con,con,5301.524188204109
39,las,las,5301.524188204109
40,fire,fire,5135.85155732273
41,cuando,cuando,5135.85155732273
42,otra,otra,4638.833664678596
43,noche,noche,4473.161033797217
44,tu,tu,4307.488402915838
45,mía,mía,4307.488402915838
46,ni,ni,4307.488402915838
47,wouh,wouh,4141.81577203446
48,tengo,tengo,4141.81577203446
49,mi,mi,3976.143141153081
50,to',to',3976.143141153081
51,hoy,hoy,3976.143141153081
52,ser,ser,3810.470510271703
53,uh,uh,3810.470510271703
54,eres,eres,3810.470510271703
55,mí,mí,3644.797879390325
56,sin,sin,3479.1252485089467
57,joda,joda,3313.4526176275676
58,voy,voy,3313.4526176275676
59,le,le,3147.7799867461895
60,caro,caro,2982.107355864811
61,baby,baby,2816.4347249834327
62,ah,ah,2816.4347249834327
63,prr,prr,2816.4347249834327
64,del,del,2816.4347249834327
65,quise,quise,2816.4347249834327
66,más,más,2816.4347249834327
67,hice,hice,2650.7620941020546
68,antes,antes,2650.7620941020546
69,caliente,caliente,2650.7620941020546
70,ardiente,ardiente,2650.7620941020546
71,va,va,2650.7620941020546
72,ahora,ahora,2485.089463220676
73,dime,dime,2485.089463220676
74,ere',ere',2485.089463220676
75,o,o,2485.089463220676
76,bichote,bichote,2485.089463220676
77,una,una,2319.416832339298
78,wuh,wuh,2319.416832339298
79,hasta,hasta,2153.744201457919
80,hablar,hablar,1988.0715705765406
81,hacía,hacía,1988.0715705765406
82,e',e',1988.0715705765406
83,bebé,bebé,1988.0715705765406
84,eso,eso,1988.0715705765406
85,hola,hola,1988.0715705765406
86,pase,pase,1988.0715705765406
87,estoy,estoy,1822.3989396951624
88,sol,sol,1822.3989396951624
89,decías,decías,1822.3989396951624
90,quieren,quieren,1822.3989396951624
91,misma,misma,1656.7263088137838
92,contigo,contigo,1656.7263088137838
93,mal,mal,1656.7263088137838
94,quiero,quiero,1656.7263088137838
95,sabe',sabe',1656.7263088137838
96,nunca,nunca,1656.7263088137838
97,tenemos,tenemos,1656.7263088137838
98,nadie,nadie,1656.7263088137838
99,debajo,debajo,1656.7263088137838
100,yah,yah,1656.7263088137838
101,feliz,feliz,1656.7263088137838
102,están,están,1656.7263088137838
103,he,he,1491.0536779324054
104,porque,porque,1491.0536779324054
105,calle,calle,1491.0536779324054
106,miami,miami,1491.0536779324054
