rank,word,lemma,occurrences_ppm
1,ik,ik,39883.0334
2,je,je,36608.9449
3,het,het,24431.9717
4,de,de,24266.8883
5,dat,dat,22077.2184
6,is,zijn,21668.8892
7,niet,niet,18323.9788
8,een,een,17972.1790
9,en,en,13987.4934
10,wat,wat,10991.4556
11,van,van,10410.2451
12,we,we,10150.8545
13,ze,ze,9310.5050
14,hij,hij,8875.7405
15,in,in,8822.6412
16,maar,maar,8385.7271
17,er,er,8170.4945
18,op,op,8068.8009
19,zijn,zijn,7968.2279
20,te,te,7844.1238
21,me,me,7396.9649
22,die,die,7204.3257
23,heb,hebben,7195.0185
24,met,met,6812.1413
25,voor,voor,6709.8989
26,als,als,6343.3493
27,u,u,5502.5882
28,ben,zijn,5450.9525
29,was,zijn,5303.0886
30,dit,dit,4722.5870
31,hier,hier,4516.6158
32,jij,jij,4471.2917
33,naar,naar,4447.5548
34,om,om,4415.3110
35,mijn,mijn,4412.0181
36,weet,weten,4311.5594
37,dan,dan,4297.9530
38,wel,wel,4103.8731
39,kan,kunnen,4025.8479
40,nog,nog,4025.6192
41,wil,willen,3975.6071
42,geen,geen,3956.9240
43,moet,moeten,3928.2934
44,zo,zo,3841.3497
45,aan,aan,3838.5369
46,hem,hem,3698.0365
47,heeft,hebben,3657.1716
48,goed,goed,3488.1092
49,hebben,hebben,3433.6608
50,ja,ja,3427.8980
51,hoe,hoe,3216.3928
52,waar,waar,3198.6702
53,nu,nu,3089.4531
54,nee,nee,3084.8338
55,haar,haar,2975.8683
56,ga,gaan,2933.0596
57,'t,het,2901.2275
58,bent,zijn,2790.7069
59,uit,uit,2777.3521
60,ook,ook,2762.0992
61,over,over,2702.2081
62,doen,doen,2677.8538
63,gaan,gaan,2650.4123
64,kom,komen,2612.5431
65,mij,mij,2540.5550
66,daar,daar,2507.0535
67,zou,zullen,2506.9163
68,bij,bij,2465.9370
69,al,al,2344.2569
70,of,of,2338.1512
71,jullie,jullie,2325.7111
72,ons,ons,2301.9513
73,gaat,gaan,2265.7743
74,iets,iets,2245.1932
75,hebt,hebben,2232.6387
76,zal,zullen,2198.2454
