rank,word,lemma,occurrences_ppm
1,je,je,25988.5
2,de,de,25221.0
3,est,être,22823.2
4,est,est,22823.2
5,pas,pas,18315.2
6,le,le,16953.5
7,la,la,16028.1
8,tu,tu,14669.8
9,tu,taire,14669.8
10,vous,vous,13589.7
11,ne,ne,13357.0
12,il,il,13223.3
13,et,et,12909.1
14,un,un,12685.6
15,à,à,12190.4
16,a,avoir,11930.6
17,a,a,11930.6
18,l',l',11390.7
19,l',l,11390.7
20,les,les,9961.1
21,en,en,9399.0
22,ça,ça,8971.9
23,n',ne,8860.8
24,n',n',8860.8
25,n',n,8860.8
26,n',avoir,8860.8
27,on,on,8590.0
28,une,une,8133.5
29,ce,ce,7958.4
30,ai,avoir,7377.9
31,d',d',7224.8
32,d',d,7224.8
33,pour,pour,7106.2
34,des,des,6055.7
35,qui,qui,5516.5
36,mais,mais,5180.5
37,me,me,4932.0
38,nous,nous,4772.1
39,dans,dans,4658.6
40,elle,elle,4520.5
41,du,du,4394.7
42,y,y,4378.0
43,y,yu,4378.0
44,t',t',4344.2
45,t',t,4344.2
46,bien,bien,4337.7
47,que,que,4100.9
48,plus,plus,4088.9
49,plus,plaire,4088.9
50,non,non,4043.8
51,te,te,4006.1
52,tout,tout,3993.9
53,mon,mon,3849.0
54,suis,être,3760.6
55,suis,suivre,3760.6
56,au,au,3737.8
57,avec,avec,3704.9
58,moi,moi,3696.3
59,si,si,3482.8
60,as,avoir,3437.2
61,as,as,3437.2
62,va,aller,3382.9
63,va,va,3382.9
64,s',s',3284.9
65,s',s,3284.9
66,oui,oui,3207.3
67,fait,faire,3166.2
68,fait,fait,3166.2
69,ils,ils,3075.1
70,comme,comme,2903.7
71,se,se,2813.8
72,faire,faire,2736.0
73,était,être,2707.6
74,sur,sur,2572.5
75,toi,toi,2519.5
76,sais,savoir,2492.9
77,sais,sais,2492.9
78,veux,vouloir,2486.9
79,quoi,quoi,2482.0
80,ici,ici,2411.8
81,es,être,2388.4
82,rien,rien,2381.6
83,ma,ma,2347.1
84,lui,lui,2314.1
85,lui,luire,2314.1
86,où,où,2177.2
87,dit,dire,2163.0
88,dit,dit,2163.0
89,là,là,2135.1
90,pourquoi,pourquoi,2005.2
91,sont,être,1960.7
92,être,être,1915.6
93,cette,cette,1902.3
94,votre,votre,1894.4
95,quand,quand,1830.7
96,avez,avoir,1784.2
97,son,son,1780.1
98,alors,alors,1777.7
99,ton,ton,1775.0
100,par,par,1763.6
101,peux,pouvoir,1743.8
102,comment,comment,1649.3
103,vais,aller,1645.0
104,dire,dire,1616.5
105,très,très,1589.9
106,ou,ou,1584.1
107,bon,bon,1514.6
108,ont,avoir,1444.5
109,allez,aller,1414.8
110,aussi,aussi,1402.3
111,voir,voir,1401.1
112,fais,faire,1390.9
113,jamais,jamais,1360.2
114,chose,chose,1321.8
115,même,même,1320.2
116,faut,falloir,1318.1
117,merci,merci,1314.5
118,tous,tout,1287.0
119,tous,tous,1287.0
120,sa,sa,1276.4
121,ta,ta,1266.0
122,êtes,être,1263.1
123,ces,ces,1222.5
124,peut,pouvoir,1209.6
125,encore,encore,1176.9
126,est-ce que,est-ce que,1159.4
127,autre,autre,1148.1
128,peu,peu,1145.8
129,été,être,1127.7
130,été,été,1127.7
131,maintenant,maintenant,1124.5
132,maintenant,maintenir,1124.5
133,mes,mes,1102.7
134,mes,me,1102.7
135,avoir,avoir,1081.2
136,toujours,toujours,1072.4
137,temps,temps,1031.0
138,dis,dire,1025.8
139,notre,notre,1023.0
140,vas,aller,1009.2
141,deux,deux,1009.0
142,sans,sans,1003.4
143,avait,avoir,992.3
144,vie,vie,986.6
145,vraiment,vraiment,968.6
146,vu,voir,950.9
147,vu,vu,950.9
148,quelque,quelque,947.2
149,viens,venir,944.8
150,juste,juste,923.6
151,peut-être,peut-être,907.7
152,crois,croire,904.5
153,fois,fois,899.2
154,oh,oh,897.5
155,dois,devoir,894.7
156,père,père,879.3
157,trop,trop,859.5
158,dieu,dieu,852.9
159,chez,chez,842.2
160,aux,aux,835.6
161,étais,être,834.4
162,étais,étai,834.4
163,aller,aller,834.0
164,monde,monde,823.6
165,femme,femme,806.6
166,sûr,sûr,801.6
167,après,après,787.6
168,mal,mal,786.0
169,avant,avant,785.6
170,avais,avoir,785.4
171,homme,homme,781.1
172,personne,personne,768.6
173,accord,accord,761.8
174,besoin,besoin,758.0
175,ses,ses,757.8
176,aime,aimer,751.3
177,mort,mort,745.1
178,mort,mourir,745.1
179,parler,parler,739.6
180,voilà,voilà,726.4
181,ans,an,718.2
182,petit,petit,717.7
183,vrai,vrai,713.1
184,mieux,mieux,705.9
185,veut,vouloir,701.2
186,déjà,déjà,692.7
187,tes,tes,690.2
188,vois,voir,689.8
189,eu,avoir,686.8
190,mère,mère,672.0
191,quel,quel,657.7
192,doit,devoir,655.1
193,doit,doit,655.1
194,vos,vos,649.1
195,sera,être,637.4
196,jour,jour,635.2
197,bonne,bon,632.1
198,bonne,bonne,632.1
199,depuis,depuis,631.1
200,quelqu'un,quelqu'un,629.0
201,fille,fille,627.6
202,beaucoup,beaucoup,626.0
203,regarde,regarder,613.5
204,donc,donc,612.5
205,gens,gens,594.3
206,monsieur,monsieur,583.5
207,ah,ah,576.5
208,maison,maison,570.3
209,bonjour,bonjour,569.9
210,passe,passer,568.5
211,passe,passe,568.5
212,toute,tout,568.5
213,toute,toute,568.5
214,nuit,nuit,562.8
215,nuit,nuire,562.8
216,soir,soir,555.9
217,voulez,vouloir,553.4
218,voulez,vouler,553.4
219,peur,peur,551.8
220,laisse,laisser,549.5
221,laisse,laisse,549.5
222,parce que,parce que,548.6
223,faites,faire,542.0
224,faites,fait,542.0
225,maman,maman,537.4
226,ouais,ouais,533.0
227,puis,puis,531.9
228,puis,pouvoir,531.9
229,avons,avoir,529.5
230,nom,nom,528.2
231,arrive,arriver,525.1
232,nos,nos,524.6
233,argent,argent,524.4
234,reste,rester,523.5
235,reste,reste,523.5
236,seul,seul,522.0
237,pense,penser,517.6
238,quelle,quelle,512.5
239,allons,aller,500.2
240,cet,cet,499.9
241,plaît,plaire,499.9
242,fils,fils,493.2
243,fils,fil,493.2
244,cela,cela,492.9
245,vite,vite,491.7
246,moins,moins,489.1
247,appelle,appeler,485.8
248,soit,être,483.6
249,soit,soit,483.6
250,salut,salut,480.5
251,attends,attendre,478.3
252,demain,demain,476.4
253,air,air,473.5
254,prendre,prendre,465.8
255,passé,passer,462.8
256,passé,passé,462.8
257,savoir,savoir,458.4
258,entre,entre,456.8
259,entre,entrer,456.8
260,arrête,arrêter,456.6
261,tête,tête,453.1
262,choses,chose,451.9
263,choses,choses,451.9
264,parle,parler,451.7
265,amour,amour,450.5
266,enfants,enfant,448.3
267,hein,hein,437.2
268,merde,merde,433.4
269,merde,merder,433.4
270,prends,prendre,431.5
271,aurais,avoir,428.9
272,jours,jour,426.7
273,donne,donner,424.8
274,donne,donne,424.8
275,petite,petit,424.6
276,raison,raison,424.3
277,elles,elles,420.5
278,connais,connaître,415.9
279,connais,connais,415.9
280,voulais,vouloir,415.8
281,heure,heure,415.4
282,grand,grand,415.0
283,sommes,être,410.5
284,sommes,somme,410.5
285,sommes,sommer,410.5
286,savez,savoir,407.9
287,assez,assez,407.8
288,moment,moment,403.2
289,sait,savoir,401.5
290,toutes,tout,395.9
291,toutes,toutes,395.9
292,problème,problème,391.2
293,voiture,voiture,390.8
294,voiture,voiturer,390.8
295,combien,combien,390.6
296,coup,coup,389.5
297,partir,partir,388.2
298,désolé,désolé,386.8
299,désolé,désoler,386.8
300,eh,eh,386.0
301,tard,tard,384.5
302,porte,porte,381.4
303,porte,porter,381.4
304,pris,prendre,380.8
305,pris,pris,380.8
306,trois,trois,380.8
307,seule,seul,380.8
308,tant,tant,380.3
309,ami,ami,379.7
310,ni,ni,377.6
311,ok,ok,371.4
312,serait,être,371.1
313,dû,devoir,369.3
314,dû,dû,369.3
315,autres,autres,368.7
316,autres,autre,368.7
317,comprends,comprendre,368.5
318,travail,travail,367.4
319,venir,venir,367.1
320,part,part,367.1
321,part,partir,367.1
322,pu,pouvoir,366.2
323,aider,aider,362.8
324,aujourd'hui,aujourd'hui,360.2
325,sens,sentir,358.4
326,sens,sens,358.4
327,famille,famille,357.8
328,pouvez,pouvoir,353.4
329,vient,venir,352.2
330,tiens,tiens,349.9
331,tiens,tenir,349.9
332,tiens,tien,349.9
333,demande,demander,348.6
334,demande,demande,348.6
335,aurait,avoir,346.8
336,tuer,tuer,346.2
337,passer,passer,345.7
338,passer,prendre,345.7
339,trouvé,trouver,344.1
340,trouvé,trouvé,344.1
341,hommes,homme,342.4
342,chercher,chercher,341.0
343,quelques,quelques,337.4
344,revoir,revoir,337.2
345,sous,sous,337.0
346,sous,sou,337.0
347,contre,contre,335.7
348,contre,contrer,335.7
349,chance,chance,334.0
350,idée,idée,330.4
351,trouver,trouver,324.9
