rank,word
1,och
2,i
3,att
4,det
5,som
6,en
7,på
8,är
9,för
10,av
11,med
12,den
13,till
14,inte
15,har
16,de
17,han
18,om
19,ett
20,jag
21,var
22,men
23,sig
24,så
25,vi
26,hon
27,från
28,man
29,kan
30,när
31,hade
32,nu
33,skulle
34,år
35,säger
36,där
37,också
38,eller
39,sin
40,under
41,efter
42,ut
43,ska
44,vid
45,mot
46,då
47,här
48,bara
49,mycket
50,upp
51,över
52,vara
53,alla
54,kommer
55,vad
56,än
57,andra
58,finns
59,får
60,in
61,sedan
62,du
63,få
64,ha
65,hur
66,blir
67,två
68,vill
69,hans
70,många
71,måste
72,något
73,mer
74,detta
75,utan
76,sina
77,går
78,allt
79,blev
80,fick
81,mig
82,honom
83,dem
84,skall
85,nya
86,bli
87,någon
88,mellan
89,även
90,några
91,första
92,varit
93,kronor
94,sitt
95,genom
96,ta
97,kom
98,dag
99,fram
100,sverige
101,kunde
102,stora
103,hela
104,svenska
105,procent
106,ju
107,göra
108,ingen
109,sa
110,bra
111,tre
112,gör
113,kanske
114,oss
115,själv
116,bland
117,annat
118,gick
119,redan
120,se
121,inom
122,gå
123,aldrig
124,del
125,väl
126,åt
127,henne
128,kunna
129,helt
130,samma
131,denna
132,enligt
133,fått
134,olika
135,stor
136,tid
137,vet
138,lite
139,gång
140,både
141,sätt
142,ser
143,miljoner
144,hennes
145,därför
146,tidigare
147,dock
148,tror
149,ur
150,min
151,dessa
152,just
153,ner
154,flera
155,varje
156,hos
157,gjorde
158,tog
159,gäller
160,barn
161,tar
162,komma
163,stockholm
164,igen
165,står
166,såg
167,lika
168,mest
169,sade
170,ändå
171,ännu
172,ja
173,tycker
174,tillbaka
175,bättre
176,innan
177,nog
178,ligger
179,deras
180,rätt
181,ni
182,människor
183,alltid
184,fall
185,ger
186,blivit
187,ge
188,fyra
189,ny
190,gamla
191,annan
192,eftersom
193,trots
194,kvar
195,vilket
196,säga
197,tiden
198,gjort
199,vår
200,ville
201,regeringen
202,samtidigt
203,längre
204,dessutom
205,större
206,bort
207,nej
208,nästan
209,per
210,mindre
211,först
212,inget
213,fanns
214,inför
215,pengar
216,fem
217,runt
218,själva
219,länge
220,senare
221,stället
222,fast
223,mitt
224,göteborg
225,ofta
226,senaste
227,medan
228,exempel
229,före
230,började
231,varför
232,enda
233,svårt
234,egen
235,nästa
236,visar
237,tillsammans
238,liv
239,sista
240,hem
241,stort
242,stod
243,året
244,alltså
245,bakom
246,långt
247,haft
248,fler
249,fortfarande
250,plats
251,hand
252,menar
253,båda
254,väg
255,usa
256,utanför
257,förra
258,inga
259,framför
260,behöver
261,dess
262,dom
263,nytt
264,bör
265,våra
266,dig
267,folk
268,håller
269,par
270,tio
271,handlar
272,problem
273,heller
274,frågan
275,a
276,gått
277,vidare
278,borde
279,början
280,låg
281,minst
282,bästa
283,anser
284,liten
285,anders
286,sett
287,egna
288,satt
289,svensk
290,berättar
291,kvinnor
292,bild
293,klart
294,känner
295,gången
296,samt
297,lätt
298,ytterligare
299,världen
300,särskilt
301,mål
302,kl
303,sidan
304,kommit
305,fråga
306,riktigt
307,lars
308,innebär
309,flesta
310,hålla
311,största
312,egentligen
313,små
314,personer
315,johansson
316,landet
317,ibland
318,sen
319,sex
320,arbete
321,gånger
322,emot
323,slut
324,s
325,kring
326,gav
327,hjälp
328,ihop
329,åren
330,omkring
331,varandra
332,företag
333,hemma
334,nära
335,ens
336,däremot
337,sagt
338,snart
339,andersson
340,börjar
341,helst
342,vilka
343,polisen
344,peter
345,därmed
346,vem
347,jobb
