rank,word,lemma,occurrences_ppm
1,que,que,36125.79238557119
2,no,no,25458.49485722274
3,y,y,23474.506556839384
4,me,me,23151.906833199813
5,la,la,22221.74429670572
6,de,de,18560.2374333966
7,a,a,18452.70419218341
8,yo,yo,17823.634731086247
9,te,te,17081.655366715237
10,el,el,15554.683341487938
11,en,en,14108.361247170533
12,lo,lo,12651.285828731807
13,tú,tú,11092.05383114055
14,ey,ey,11075.923844958574
15,se,se,9597.34177827721
16,yeh,yeh,8651.049255601138
17,un,un,8059.6164289285925
18,pa',pa',7602.600153772535
19,si,si,7489.690250498686
20,con,con,7226.233809526369
21,es,es,6914.387410008118
22,los,los,6774.594196430971
23,eh,eh,6715.450913763717
24,pero,pero,6344.4612315782115
25,por,por,5623.988515449838
26,mi,mi,5355.155412416863
27,las,las,5215.362198839716
28,ya,ya,4968.035744049379
29,como,como,4919.645785503444
30,oh,oh,4914.269123442785
31,yeah,yeah,4683.0726548344255
32,baby,baby,4521.77279301464
33,tu,tu,4505.642806832662
34,una,una,4322.83629677024
35,le,le,4070.1331799192426
36,soy,soy,3661.5068633091205
37,quiero,quiero,3457.193705004059
38,mí,mí,3451.8170429434
39,qué,qué,3328.1538155482313
40,ah,ah,3306.647167305593
41,sé,sé,3129.2173193038298
42,ti,ti,3070.0740366365753
43,tengo,tengo,3048.567388393937
44,wuh,wuh,2919.527498938109
45,bien,bien,2849.6308921495356
46,cuando,cuando,2838.8775680282165
47,to',to',2795.864271542941
48,más,más,2763.604299178984
49,i,i,2682.954368269091
50,hoy,hoy,2634.5644097231557
51,bad,bad,2618.4344235411772
52,bunny,bunny,2548.5378167526037
53,the,the,2430.251251418095
54,e',e',2333.4713343262238
55,siempre,siempre,2317.341348144245
56,está,está,2274.3280516589693
57,you,you,2268.9513895983096
58,ahora,ahora,2091.5215415965463
59,otra,otra,2086.1448795358865
60,eso,eso,2075.3915554145674
61,sin,sin,2075.3915554145674
62,porque,porque,2064.6382312932487
63,uh,uh,2005.494948625994
64,cabrón,cabrón,1994.741624504675
65,dime,dime,1989.3649624440154
66,ella,ella,1978.6116383226968
67,va,va,1951.728328019399
68,del,del,1924.8450177161014
69,estoy,estoy,1876.455059170166
70,voy,voy,1865.7017350488468
71,lyrics,lyrics,1817.3117765029115
72,al,al,1795.8051282602735
73,hay,hay,1747.415169714338
74,ni,ni,1682.895224986424
75,noche,noche,1677.5185629257644
76,mami,mami,1666.7652388044453
77,party,party,1623.7519423191693
78,vo'a,vo'a,1618.37528025851
79,hasta,hasta,1596.868632015872
80,vamo',vamo',1564.6086596519149
81,it,it,1526.9720252272984
82,así,así,1526.9720252272984
83,nunca,nunca,1526.9720252272984
84,son,son,1521.595363166639
85,like,like,1510.8420390453198
86,nos,nos,1467.8287425600438
87,solo,solo,1457.075418438725
88,nadie,nadie,1446.3220943174058
89,i'm,i'm,1435.568770196087
90,bebé,bebé,1387.1788116501514
91,lo',lo',1365.6721634075134
92,o,o,1349.5421772255347
93,cómo,cómo,1344.1655151648754
94,aquí,aquí,1322.6588669222374
95,ver,ver,1295.7755566189398
96,ese,ese,1285.0222324976207
97,su,su,1279.6455704369614
98,esto,esto,1274.2689083763019
99,ere',ere',1274.2689083763019
100,hace,hace,1268.8922463156423
101,'e,'e,1263.515584254983
102,ve',ve',1247.3855980730043
103,tiene,tiene,1198.995639527069
104,mía,mía,1177.4889912844308
105,eres,eres,1177.4889912844308
106,conmigo,conmigo,1172.1123292237714
107,ser,ser,1129.0990327384952
108,fue,fue,1118.3457086171761
109,vida,vida,1112.9690465565168
110,quiere,quiere,1107.5923844958575
111,gusta,gusta,1102.2157224351977
112,para,para,1096.8390603745383
113,quiere',quiere',1091.4623983138788
114,tiempo,tiempo,1080.70907419256
115,esta,esta,1080.70907419256
116,prr,prr,1069.9557500712408
117,llueven,llueven,1069.9557500712408
118,huh,huh,1059.2024259499217
119,mejor,mejor,1037.6957777072837
120,calle,calle,1016.1891294646458
121,hacer,hacer,1000.0591432826672
122,vez,vez,967.7991709187103
123,more,more,967.7991709187103
124,la',la',967.7991709187103
125,sí,sí,957.0458467973913
126,todo,todo,940.9158606154127
127,hago,hago,940.9158606154127
128,él,él,940.9158606154127
129,día,día,935.5391985547533
130,dale,dale,914.0325503121153
131,that,that,881.7725779481583
132,quién,quién,876.3959158874987
133,rico,rico,871.0192538268392
134,desde,desde,865.6425917661797
135,contigo,contigo,865.6425917661797
136,read,read,865.6425917661797
137,má',má',860.2659297055202
138,up,up,854.8892676448608
139,flow,flow,844.1359435235418
140,dos,dos,833.3826194022226
141,dinero,dinero,828.0059573415632
142,mundo,mundo,828.0059573415632
143,canción,canción,822.6292952809038
144,nada,nada,822.6292952809038
145,tus,tus,822.6292952809038
146,pa'l,pa'l,817.2526332202442
147,estás,estás,806.4993090989252
148,dile,dile,801.1226470382657
149,mañana,mañana,801.1226470382657
150,in,in,801.1226470382657
151,na,na,801.1226470382657
152,aunque,aunque,784.9926608562872
153,this,this,779.6159987956277
154,je,je,768.8626746743087
155,loco,loco,758.1093505529897
156,ando,ando,758.1093505529897
157,este,este,758.1093505529897
158,otro,otro,758.1093505529897
159,mis,mis,752.7326884923302
160,están,están,747.3560264316707
161,sabe',sabe',736.6027023103518
162,amor,amor,725.8493781890327
163,también,también,720.4727161283731
164,na',na',720.4727161283731
165,to,to,715.0960540677137
166,mala,mala,709.7193920070541
167,les,les,709.7193920070541
168,casa,casa,698.9660678857352
169,va',va',698.9660678857352
170,quieren,quieren,698.9660678857352
171,and,and,693.5894058250757
172,so,so,693.5894058250757
173,he,he,688.2127437644161
174,quieres,quieres,688.2127437644161
175,ahí,ahí,682.8360817037567
176,nuevo,nuevo,672.0827575824377
177,cama,cama,672.0827575824377
